World        , Method  , Trial, Success, SR_run (%), CE (m)                , Time-to-goal (s)  , Path length (m)       , Final dist to goal (m), MPC solve mean (ms), MPC solve (ms), MPC solve max (ms), MPC solve samples, pose_source, goal_source  , n_path_msgs, n_ref_points, bag_dir
indoor_office, baseline,     1,       1,      100.0, 0.037607314483550695  , 84.81889033317566 , 15.837968256709413    , 0.26703509015140636   , 39.1099808344497   , 66.98425440008576 , 765.6025420001242 ,               453, /go2/pose  , goal_pose    ,          82,          740, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_baseline/T1
indoor_office, baseline,     2,       0,        0.0, 0.03875077181397289   , nan               , 19.99929771535636     , 0.9487775340819217    , 54.456267516656    , 92.37998189971677 , 925.5072579999251 ,               480, /go2/pose  , goal_pose    ,         103,         1016, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_baseline/T2
indoor_office, baseline,     3,       0,        0.0, 1.862327758241563e-06 , nan               , 1.0413065282204491e-08, 8.975661544310746     , 25.13262350007608  , 54.94561594982769 , 57.80585599995902 ,                10, /go2/pose  , path_endpoint,           5,           90, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_baseline/T3/bag
indoor_office, bo_opti ,     1,       0,        0.0, 0.040729392646875785  , nan               , 12.599285083039153    , 0.6550585248549364    , 21.621949792012188 , 38.07333530030519 , 53.042116000142414,               399, /go2/pose  , path_endpoint,          60,          619, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_bo_opti/T1/bag
indoor_office, bo_opti ,     2,       1,      100.0, 0.04844594870709687   , 52.264484167099   , 11.66351858177033     , 0.34167068343366935   , 25.925179484546128 , 41.155449250118174, 52.556464999724994,               324, /go2/pose  , path_endpoint,          55,          474, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_bo_opti/T2/bag
indoor_office, bo_opti ,     3,       0,        0.0, 2.617147351614952e-07 , nan               , 1.554692265192921e-08 , 8.975661546460419     , 18.691787478216966 , 36.721547899878715, 47.08915299988803 ,                23, /go2/pose  , path_endpoint,           4,           72, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/indoor_office_bo_opti/T3/bag
open_world   , baseline,     1,       0,        0.0, 0.0589809182082378    , nan               , 10.422953710789695    , 11.943867188371225    , 42.096313727656934 , 58.842827000171354, 144.00315399961983,               705, /go2/pose  , goal_pose    ,          19,          153, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/open_world_baseline/T1/bag
open_world   , baseline,     2,       1,      100.0, 0.058990324768037304  , 41.55372953414917 , 8.852624056569832     , 0.3690051810712277    , 39.59956205569162  , 59.28271359971404 , 75.50086500032194 ,               413, /go2/pose  , path_endpoint,          26,          282, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/open_world_baseline/T2/bag
open_world   , baseline,     3,       0,        0.0, nan                   , nan               , nan                   , nan                   , nan                , nan               , nan               ,                 0, missing    , goal_pose    ,           0,            0, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/open_world_baseline/T3/bag
open_world   , bo_opti ,     1,       0,        0.0, nan                   , nan               , nan                   , nan                   , nan                , nan               , nan               ,                 0, missing    , goal_pose    ,           0,            0, /media/lorenzo/writable/Go2_navigation/bags_recordings/metrics_data/open_world_bo_opti/T1/bag
